ticker,empresa,totalAssets,operatingExpenses,fullTimeEmployees,totalRevenue,ebitda
XOM,Exxon Mobil Corporation,448980000000.0,289967000000.0,57900.0,326008012800.0,56007000064.0
CVX,Chevron Corporation,324012000000.0,167758000000.0,43039.0,185740001280.0,37906001920.0
SHEL,Shell PLC,370350000000.0,239304000000.0,84000.0,267342004224.0,49131999232.0
BP,BP p.l.c.,278526000000.0,173527000000.0,93700.0,193004994560.0,34377998336.0
TTE,TotalEnergies SE,291055000000.0,162419000000.0,94847.0,183960993792.0,36652998656.0
COP,ConocoPhillips,121939000000.0,47602000000.0,9700.0,59377999872.0,23346999296.0
PBR,Petroleo Brasileiro S.A. Petrob,1218228890400.0,336625610400.0,43199.0,498090999808.0,203499995136.0
EQNR,Equinor ASA,131727000000.0,81098000000.0,23545.0,104260001792.0,35948998656.0
E,ENI S.p.A.,137069000000.0,77645000000.0,32349.0,84479000576.0,12028000256.0
REP,221316,,,,,
OXY,Occidental Petroleum Corporatio,84186000000.0,17871000000.0,10412.0,21119000576.0,10826999808.0
DVN,Devon Energy Corporation,31599000000.0,13332000000.0,2200.0,16003000320.0,6721999872.0
HES,HES,,,,,
MRO,MRO,,,,,
VLO,Valero Energy Corporation,57988000000.0,118375000000.0,9785.0,117841002496.0,9203000320.0
PSX,Phillips 66,73680000000.0,128995000000.0,12600.0,134485999616.0,7040000000.0
MPC,Marathon Petroleum Corporation,83955000000.0,126931000000.0,18500.0,135946002432.0,10257999872.0
SLB,SLB Limited,54868000000.0,30250000000.0,109000.0,35939000320.0,7510000128.0
HAL,Halliburton Company,25010000000.0,19093000000.0,46000.0,22168999936.0,4123000064.0
IMO,Imperial Oil Limited,42309000000.0,41089000000.0,5000.0,46868000768.0,6590000128.0
CNQ,Canadian Natural Resources Limi,91830000000.0,35941000000.0,10750.0,38633000960.0,14796000256.0
SU,Suncor Energy  Inc.,89913000000.0,44382000000.0,15424.0,51065999360.0,15589999616.0
YPF,YPF Sociedad Anonima,29439000000.0,16654000000.0,,25325775880192.0,6986760978432.0
EC,Ecopetrol S.A.,282220000000000.0,92112000000000.0,,,43172000432128.0
BKR,Baker Hughes Company,40881000000.0,24176000000.0,53000.0,27893000192.0,4821000192.0
FTI,TechnipFMC plc,10118200000.0,8539600000.0,22000.0,10191699968.0,1916099968.0
WMB,"Williams Companies, Inc. (The)",58573000000.0,7542000000.0,5987.0,12108999680.0,6821000192.0
