DMU,ccr_score,efficient,benchmarks,lambdas
XOM,1.1023,False,"PBR, EQNR, IMO","{'XOM': 0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.0818, 'EQNR': 1.6402, 'E': 0.0, 'OXY': 0.0, 'DVN': 0.0, 'VLO': 0.0, 'PSX': 0.0, 'MPC': 0.0, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 3.1495, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.0, 'WMB': 0.0}"
CVX,1.1849,False,"PBR, EQNR, IMO","{'XOM': 0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.0828, 'EQNR': 1.6408, 'E': 0.0, 'OXY': 0.0, 'DVN': 0.0, 'VLO': 0.0, 'PSX': 0.0, 'MPC': 0.0, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.1662, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.0, 'WMB': 0.0}"
SHEL,1.1356,False,"EQNR, MPC, FTI","{'XOM': 0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.0, 'EQNR': 2.6666, 'E': 0.0, 'OXY': 0.0, 'DVN': 0.0, 'VLO': 0.0, 'PSX': 0.0, 'MPC': 0.1237, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.8603, 'WMB': 0.0}"
BP,1.1522,False,"EQNR, FTI","{'XOM': 0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.0, 'EQNR': 2.0462, 'E': 0.0, 'OXY': 0.0, 'DVN': 0.0, 'VLO': 0.0, 'PSX': 0.0, 'MPC': 0.0, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.8881, 'WMB': 0.0}"
TTE,1.1495,False,"PBR, EQNR","{'XOM': 0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.0406, 'EQNR': 1.8344, 'E': 0.0, 'OXY': 0.0, 'DVN': 0.0, 'VLO': 0.0, 'PSX': 0.0, 'MPC': 0.0, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.0, 'WMB': 0.0}"
COP,1.0587,False,"PBR, EQNR, DVN","{'XOM': 0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.0476, 'EQNR': 0.1804, 'E': 0.0, 'OXY': 0.0, 'DVN': 1.2698, 'VLO': 0.0, 'PSX': 0.0, 'MPC': 0.0, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.0, 'WMB': 0.0}"
PBR,1.0,True,-,"{'XOM': 0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': -0.0, 'PBR': 1.0, 'EQNR': 0.0, 'E': 0.0, 'OXY': 0.0, 'DVN': 0.0, 'VLO': 0.0, 'PSX': 0.0, 'MPC': 0.0, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.0, 'WMB': 0.0}"
EQNR,1.0,True,-,"{'XOM': 0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.0, 'EQNR': 1.0, 'E': 0.0, 'OXY': 0.0, 'DVN': 0.0, 'VLO': 0.0, 'PSX': 0.0, 'MPC': 0.0, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': -0.0, 'BKR': 0.0, 'FTI': 0.0, 'WMB': 0.0}"
E,1.1942,False,"PBR, EQNR","{'XOM': 0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.0163, 'EQNR': 0.8897, 'E': 0.0, 'OXY': 0.0, 'DVN': 0.0, 'VLO': 0.0, 'PSX': 0.0, 'MPC': 0.0, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.0, 'WMB': 0.0}"
OXY,1.1281,False,"PBR, WMB","{'XOM': 0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.0391, 'EQNR': 0.0, 'E': 0.0, 'OXY': 0.0, 'DVN': 0.0, 'VLO': 0.0, 'PSX': 0.0, 'MPC': 0.0, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.0, 'WMB': 0.6238}"
DVN,1.0,True,-,"{'XOM': 0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.0, 'EQNR': 0.0, 'E': 0.0, 'OXY': 0.0, 'DVN': 1.0, 'VLO': 0.0, 'PSX': 0.0, 'MPC': 0.0, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.0, 'WMB': 0.0}"
VLO,1.0,True,-,"{'XOM': -0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.0, 'EQNR': 0.0, 'E': 0.0, 'OXY': 0.0, 'DVN': 0.0, 'VLO': 1.0, 'PSX': 0.0, 'MPC': 0.0, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.0, 'WMB': 0.0}"
PSX,1.0,True,-,"{'XOM': 0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.0, 'EQNR': 0.0, 'E': 0.0, 'OXY': 0.0, 'DVN': 0.0, 'VLO': 0.0, 'PSX': 1.0, 'MPC': 0.0, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.0, 'WMB': 0.0}"
MPC,1.0,True,-,"{'XOM': 0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.0, 'EQNR': -0.0, 'E': 0.0, 'OXY': 0.0, 'DVN': 0.0, 'VLO': 0.0, 'PSX': 0.0, 'MPC': 1.0, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.0, 'WMB': 0.0}"
SLB,1.0976,False,"PBR, EQNR","{'XOM': 0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.0085, 'EQNR': 0.3376, 'E': 0.0, 'OXY': 0.0, 'DVN': 0.0, 'VLO': 0.0, 'PSX': 0.0, 'MPC': 0.0, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.0, 'WMB': 0.0}"
HAL,1.0504,False,"EQNR, FTI","{'XOM': 0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.0, 'EQNR': 0.067, 'E': 0.0, 'OXY': 0.0, 'DVN': 0.0, 'VLO': 0.0, 'PSX': 0.0, 'MPC': 0.0, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 1.5996, 'WMB': 0.0}"
IMO,1.0,True,-,"{'XOM': 0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.0, 'EQNR': 0.0, 'E': 0.0, 'OXY': 0.0, 'DVN': 0.0, 'VLO': 0.0, 'PSX': 0.0, 'MPC': 0.0, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 1.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.0, 'WMB': 0.0}"
CNQ,1.2597,False,"PBR, EQNR, DVN","{'XOM': 0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.0442, 'EQNR': 0.1976, 'E': 0.0, 'OXY': 0.0, 'DVN': 0.3766, 'VLO': 0.0, 'PSX': 0.0, 'MPC': 0.0, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.0, 'WMB': 0.0}"
SU,1.1513,False,"PBR, EQNR","{'XOM': 0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.0265, 'EQNR': 0.4371, 'E': 0.0, 'OXY': 0.0, 'DVN': 0.0, 'VLO': 0.0, 'PSX': 0.0, 'MPC': 0.0, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.0, 'WMB': 0.0}"
BKR,1.1199,False,"PBR, EQNR","{'XOM': 0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.0024, 'EQNR': 0.2881, 'E': 0.0, 'OXY': 0.0, 'DVN': 0.0, 'VLO': 0.0, 'PSX': 0.0, 'MPC': 0.0, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.0, 'WMB': 0.0}"
FTI,1.0,True,-,"{'XOM': 0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.0, 'EQNR': 0.0, 'E': 0.0, 'OXY': 0.0, 'DVN': 0.0, 'VLO': 0.0, 'PSX': 0.0, 'MPC': 0.0, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 1.0, 'WMB': 0.0}"
WMB,1.0,True,-,"{'XOM': 0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': -0.0, 'PBR': 0.0, 'EQNR': 0.0, 'E': 0.0, 'OXY': 0.0, 'DVN': 0.0, 'VLO': 0.0, 'PSX': 0.0, 'MPC': 0.0, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.0, 'WMB': 1.0}"
