DMU,ccr_score,bcc_score,scale_efficiency,returns_to_scale
XOM,1.1023,1.0,1.1023,CRS
CVX,1.1849,1.1281,1.0504,CRS
SHEL,1.1356,1.0188,1.1146,CRS
BP,1.1522,1.0686,1.0782,CRS
TTE,1.1495,1.0854,1.0591,CRS
COP,1.0587,1.0585,1.0002,CRS
PBR,1.0,1.0,1.0,CRS
EQNR,1.0,1.0,1.0,CRS
E,1.1942,1.1937,1.0004,CRS
OXY,1.1281,1.1253,1.0025,CRS
DVN,1.0,1.0,1.0,CRS
VLO,1.0,1.0,1.0,CRS
PSX,1.0,1.0,1.0,CRS
MPC,1.0,1.0,1.0,CRS
SLB,1.0976,1.0889,1.008,CRS
HAL,1.0504,1.0488,1.0015,CRS
IMO,1.0,1.0,1.0,CRS
CNQ,1.2597,1.2438,1.0128,CRS
SU,1.1513,1.1336,1.0156,CRS
BKR,1.1199,1.1077,1.011,CRS
FTI,1.0,1.0,1.0,CRS
WMB,1.0,1.0,1.0,CRS
